Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Has_CreditCard,LoanAmount,Loan_Amount_Term,Owns_House,Property_Area,Loan_Status
Other,Yes,0,Not Graduate,Yes,46517.2,32876.0,Yes,689,120,0,Semiurban,N
Other,Yes,2,Not Graduate,No,20879.0,9147.0,Yes,495,60,1,Semiurban,Y
Other,Yes,1,Graduate,No,17316.0,19744.0,Yes,374,180,0,Rural,N
Other,Yes,2,Graduate,Yes,27525.0,19873.0,Yes,249,240,1,Rural,Y
Male,No,2,Graduate,No,8378.0,317.0,Yes,197,60,1,Urban,Y
Other,No,2,Not Graduate,Yes,51669.0,33108.0,Yes,416,360,0,Rural,N
Male,No,1,Graduate,No,5577.0,46396.0,Yes,270,240,1,Urban,Y
Female,Yes,1,Graduate,No,24690.0,37212.0,Yes,277,60,1,Semiurban,N
Other,Yes,0,Not Graduate,No,61514.0,18458.0,Yes,355,360,0,Semiurban,N
Female,Yes,3,Not Graduate,Yes,63962.0,45456.0,Yes,228,60,1,Rural,Y
Male,No,3,Not Graduate,No,72195.0,23178.2,Yes,525,300,0,Rural,N
Other,Yes,1,Not Graduate,No,21953.0,22062.0,Yes,466,180,0,Rural,N
Female,No,2,Not Graduate,Yes,35356.8,43350.0,Yes,677,180,1,Semiurban,Y
Male,No,0,Not Graduate,No,45599.0,12180.0,Yes,172,240,0,Urban,N
Other,No,1,Not Graduate,Yes,40985.0,45959.0,Yes,334,60,0,Rural,N
Other,Yes,1,Not Graduate,Yes,16537.0,13384.0,Yes,52,60,1,Urban,Y
Female,No,3,Graduate,No,45717.0,44153.0,Yes,311,360,0,Semiurban,N
Male,Yes,2,Graduate,No,12027.0,12128.0,Yes,520,300,1,Rural,Y
Other,Yes,0,Not Graduate,Yes,5536.0,12473.0,Yes,381,300,0,Urban,N
Female,No,3,Graduate,Yes,5525.0,39747.0,Yes,310,360,1,Semiurban,Y
Other,No,1,Not Graduate,No,12176.0,2366.0,Yes,52,360,0,Rural,N
Other,No,1,Not Graduate,Yes,73423.0,27578.0,Yes,496,360,1,Rural,Y
Male,No,3,Not Graduate,Yes,73013.0,45649.0,Yes,265,300,1,Rural,Y
Other,No,2,Not Graduate,No,20755.0,15327.0,Yes,528,180,1,Rural,N
Other,Yes,0,Graduate,Yes,62843.0,36472.0,Yes,644,60,1,Urban,Y
Female,Yes,0,Not Graduate,Yes,55513.0,26976.0,Yes,489,60,0,Rural,N
Other,No,0,Graduate,No,74640.0,36969.0,Yes,249,300,0,Rural,N
Male,Yes,2,Graduate,Yes,23693.0,45473.0,Yes,328,120,1,Urban,Y
Male,No,1,Not Graduate,Yes,60908.0,12209.0,Yes,184,240,1,Urban,Y
Female,No,1,Not Graduate,No,15726.0,12929.0,Yes,343,300,0,Rural,N
Other,Yes,0,Graduate,Yes,9898.0,10444.0,Yes,254,120,0,Rural,Y
Other,Yes,0,Graduate,Yes,47945.0,8756.0,Yes,134,240,0,Urban,N
Female,No,0,Not Graduate,Yes,48684.0,3453.0,Yes,342,180,0,Urban,N
Other,Yes,3,Not Graduate,Yes,47874.0,48424.0,Yes,439,360,1,Urban,Y
Other,No,3,Graduate,No,72878.0,42262.0,Yes,187,60,0,Urban,N
Male,Yes,1,Not Graduate,Yes,51008.0,47292.0,Yes,460,240,1,Rural,Y
Other,Yes,0,Not Graduate,No,37404.0,24001.0,Yes,267,360,0,Rural,N
Female,Yes,3,Graduate,Yes,14104.0,33025.0,Yes,667,120,0,Urban,N
Female,Yes,2,Graduate,Yes,29048.0,14788.0,Yes,106,60,0,Urban,Y
Male,No,3,Not Graduate,No,20628.0,1046.0,Yes,141,300,0,Semiurban,N
Other,Yes,1,Graduate,Yes,16268.0,6646.0,Yes,419,300,0,Semiurban,Y
Other,Yes,3,Not Graduate,Yes,67734.0,28160.0,Yes,620,360,0,Semiurban,Y
Other,Yes,1,Graduate,Yes,13704.0,26287.0,Yes,461,240,1,Urban,N
Male,No,0,Graduate,Yes,73050.0,16432.0,Yes,242,240,1,Semiurban,Y
Male,No,2,Graduate,Yes,27834.0,24743.0,Yes,166,60,0,Semiurban,N
Female,No,0,Not Graduate,Yes,51308.0,34621.0,Yes,324,120,0,Rural,N
Male,No,0,Not Graduate,Yes,63737.0,44814.0,Yes,402,300,0,Semiurban,N
Other,No,2,Not Graduate,No,64122.0,20125.0,Yes,495,360,0,Semiurban,N
Other,Yes,2,Graduate,No,41383.0,34836.0,Yes,85,180,0,Rural,N
Male,Yes,2,Not Graduate,No,53420.0,46184.0,Yes,673,60,1,Urban,N
Other,Yes,1,Not Graduate,Yes,17840.0,40225.0,Yes,246,300,1,Semiurban,N
Other,No,0,Not Graduate,No,27771.0,5823.0,Yes,339,300,1,Rural,Y
Male,No,1,Not Graduate,No,31733.0,26025.0,Yes,535,120,0,Rural,N
Male,Yes,2,Graduate,No,22480.0,32996.0,Yes,460,300,0,Semiurban,N
Other,No,1,Not Graduate,No,19945.0,36020.0,Yes,472,120,0,Rural,N
Other,No,2,Not Graduate,Yes,14641.0,33119.0,Yes,288,120,1,Semiurban,N
Other,No,3,Graduate,Yes,18232.0,35040.0,Yes,347,180,0,Urban,N
Female,Yes,2,Not Graduate,Yes,47326.0,20421.0,Yes,91,60,0,Semiurban,N
Female,Yes,0,Graduate,No,46851.0,24809.0,Yes,137,240,1,Urban,Y
Female,No,0,Graduate,Yes,27615.0,17241.0,Yes,225,300,0,Rural,N
Male,No,0,Graduate,No,26255.0,47417.0,Yes,327,120,1,Rural,N
Female,No,1,Not Graduate,Yes,33709.0,9068.0,Yes,392,120,1,Urban,Y
Male,No,0,Graduate,Yes,59173.0,26834.0,Yes,346,240,0,Semiurban,Y
Female,Yes,0,Not Graduate,Yes,45089.0,13699.0,Yes,465,300,1,Rural,Y
Female,Yes,1,Graduate,Yes,48832.0,3324.0,Yes,82,60,1,Rural,Y
Other,Yes,3,Graduate,Yes,9822.0,43911.0,Yes,77,300,1,Urban,N
Female,No,0,Graduate,No,23893.0,39029.0,Yes,258,60,0,Semiurban,N
Other,Yes,0,Not Graduate,No,17251.0,21335.0,Yes,651,300,1,Rural,N
Male,Yes,3,Graduate,No,46145.0,26832.0,Yes,643,240,0,Rural,Y
Other,No,0,Graduate,No,74215.0,1432.0,Yes,297,300,1,Rural,Y
Female,No,1,Not Graduate,Yes,54837.0,480.0,Yes,427,60,1,Urban,Y
Male,No,2,Not Graduate,No,42380.0,2970.0,Yes,407,300,1,Rural,Y
Male,Yes,2,Not Graduate,No,24205.0,34433.0,Yes,67,300,0,Urban,N
Male,No,3,Graduate,No,59959.0,49480.0,Yes,262,240,0,Urban,N
Other,Yes,2,Graduate,Yes,69948.0,14265.0,Yes,563,360,1,Urban,Y
Female,Yes,0,Graduate,Yes,70785.0,8608.0,Yes,143,360,0,Semiurban,N
Male,No,0,Graduate,No,70775.0,7250.0,Yes,66,300,0,Semiurban,N
Male,Yes,1,Not Graduate,No,56354.0,944.0,Yes,288,360,0,Rural,N
Male,Yes,2,Graduate,Yes,32028.0,34820.0,Yes,577,300,1,Semiurban,Y
Other,Yes,3,Not Graduate,Yes,67082.0,10542.0,Yes,226,240,1,Semiurban,Y
Other,Yes,0,Graduate,No,62892.0,7703.0,Yes,180,300,0,Rural,N
Female,No,3,Graduate,Yes,17803.0,26232.0,Yes,347,180,1,Urban,N
Other,Yes,0,Graduate,No,18653.0,34219.0,Yes,112,120,0,Urban,Y
Male,No,0,Not Graduate,Yes,23674.0,11203.0,Yes,179,240,1,Rural,N
Female,Yes,1,Not Graduate,No,45345.0,43743.0,Yes,412,60,0,Rural,N
Male,Yes,2,Not Graduate,No,42920.0,40686.0,Yes,665,180,0,Semiurban,N
Male,No,1,Not Graduate,No,35614.0,29922.0,Yes,319,180,1,Urban,N
Other,Yes,2,Graduate,No,21968.0,13965.0,Yes,317,120,0,Semiurban,Y
Female,Yes,3,Graduate,Yes,57850.0,20387.0,Yes,549,180,0,Urban,N
Other,Yes,2,Graduate,Yes,65148.0,34354.0,Yes,589,120,0,Urban,N
Other,Yes,3,Graduate,No,63661.0,49541.0,Yes,536,300,0,Semiurban,N
Female,Yes,0,Graduate,Yes,20191.0,3728.0,Yes,266,240,0,Urban,N
Male,Yes,3,Not Graduate,No,62610.0,24391.0,Yes,406,240,0,Urban,N
Male,No,3,Not Graduate,Yes,48252.0,25394.0,Yes,695,240,1,Urban,N
Female,No,0,Graduate,No,15093.0,12299.0,Yes,335,120,1,Semiurban,Y
Male,No,3,Graduate,Yes,29025.0,6480.0,Yes,528,120,1,Semiurban,N
Female,Yes,3,Graduate,Yes,37336.0,28530.0,Yes,595,180,0,Rural,N
Female,Yes,0,Graduate,Yes,28436.0,47232.0,Yes,461,240,1,Urban,N
Other,Yes,0,Not Graduate,Yes,45690.0,4106.0,Yes,380,180,0,Urban,N
Female,No,0,Graduate,No,73440.0,41449.0,Yes,498,300,0,Urban,N
Other,Yes,2,Graduate,No,31094.0,18703.0,Yes,76,180,0,Semiurban,N
Male,No,0,Graduate,Yes,66399.0,32100.0,Yes,161,240,1,Urban,Y
Male,Yes,0,Graduate,Yes,7509.0,11120.0,Yes,541,120,0,Semiurban,N
Male,Yes,3,Not Graduate,Yes,73062.0,44123.0,Yes,186,180,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,41677.0,38920.0,Yes,587,180,0,Semiurban,N
Other,No,1,Not Graduate,No,57501.0,19318.0,Yes,311,120,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,38935.0,25722.0,Yes,696,120,0,Rural,N
Female,No,2,Graduate,Yes,70050.0,31000.0,Yes,571,240,0,Semiurban,N
Female,Yes,1,Graduate,Yes,20795.0,2505.0,Yes,348,300,1,Rural,Y
Female,Yes,1,Graduate,Yes,43492.0,23463.0,Yes,159,60,0,Semiurban,Y
Male,Yes,3,Graduate,Yes,54910.0,7798.0,Yes,528,180,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,12304.0,24253.0,Yes,673,240,0,Semiurban,N
Male,Yes,2,Not Graduate,Yes,62289.0,39702.0,Yes,662,240,1,Urban,Y
Other,Yes,1,Not Graduate,No,7808.0,9003.0,Yes,316,120,1,Semiurban,N
Female,No,2,Not Graduate,Yes,34897.0,16439.0,Yes,262,300,0,Rural,N
Female,No,0,Not Graduate,Yes,7907.0,8899.0,Yes,358,60,0,Rural,N
Male,Yes,2,Graduate,Yes,71761.0,14714.0,Yes,103,300,1,Rural,N
Female,Yes,2,Graduate,Yes,4014.0,15861.0,Yes,444,240,0,Semiurban,Y
Female,No,3,Not Graduate,No,70557.0,20502.0,Yes,561,120,0,Urban,Y
Other,Yes,2,Graduate,Yes,54828.0,28424.0,Yes,374,120,0,Semiurban,Y
Other,No,0,Graduate,No,61884.0,22187.6,Yes,145,180,0,Urban,N
Other,Yes,3,Not Graduate,No,71120.0,13059.0,Yes,223,360,1,Rural,Y
Other,No,2,Not Graduate,No,7942.0,36257.0,Yes,393,180,0,Urban,N
Male,No,0,Not Graduate,No,65681.0,20710.0,Yes,254,60,0,Rural,N
Other,No,1,Graduate,Yes,10370.0,42360.0,Yes,104,180,1,Urban,N
Female,No,3,Not Graduate,No,47132.0,15201.0,Yes,275,180,1,Urban,Y
Male,Yes,2,Not Graduate,No,16672.0,17577.0,Yes,356,360,1,Urban,N
Female,Yes,2,Graduate,Yes,55934.0,4994.0,Yes,330,120,1,Rural,Y
Female,No,3,Graduate,No,59209.0,7506.0,Yes,666,120,1,Rural,Y
Female,No,0,Not Graduate,No,11467.0,1497.0,Yes,351,300,1,Rural,N
Other,No,2,Graduate,No,29935.0,9442.0,Yes,254,300,1,Rural,N
Male,Yes,3,Graduate,Yes,65230.0,44510.0,Yes,477,60,0,Rural,N
Male,No,2,Not Graduate,No,14551.0,26154.0,Yes,190,240,0,Semiurban,N
Other,No,1,Graduate,Yes,57924.0,8666.0,Yes,504,240,0,Urban,N
Female,No,1,Graduate,Yes,51652.0,31652.0,Yes,194,300,0,Semiurban,N
Male,No,1,Graduate,Yes,45384.0,21515.0,Yes,575,300,1,Rural,N
Other,No,3,Not Graduate,No,57488.0,20432.0,Yes,207,180,1,Urban,Y
Other,No,2,Not Graduate,No,51597.0,39695.0,Yes,154,120,1,Rural,Y
Other,No,3,Not Graduate,Yes,56274.0,15421.0,Yes,338,300,0,Urban,N
Other,No,1,Graduate,Yes,71005.0,41230.0,Yes,234,180,1,Rural,Y
Other,No,1,Graduate,Yes,50604.0,23065.0,Yes,266,360,0,Rural,N
Other,No,0,Not Graduate,Yes,42819.0,30252.0,Yes,80,360,0,Urban,N
Other,Yes,3,Graduate,Yes,12782.0,38785.0,Yes,328,120,1,Semiurban,Y
Male,Yes,3,Not Graduate,No,33398.0,7005.0,Yes,524,360,0,Urban,Y
Male,Yes,0,Not Graduate,No,56532.0,46877.0,Yes,274,360,0,Rural,N
Other,No,1,Not Graduate,No,28688.0,31811.0,Yes,226,60,0,Rural,N
Female,No,1,Not Graduate,Yes,28644.0,37225.0,Yes,133,360,1,Semiurban,Y
Male,No,3,Not Graduate,No,43433.0,32351.0,Yes,617,360,1,Semiurban,Y
Male,No,1,Graduate,Yes,53966.0,9186.0,Yes,57,180,1,Urban,Y
Male,Yes,0,Graduate,No,6907.0,49920.0,Yes,623,120,0,Semiurban,Y
Female,Yes,0,Graduate,Yes,39499.0,46098.0,No,103,120,1,Urban,Y
Other,Yes,0,Graduate,No,11273.0,25120.0,Yes,212,60,0,Rural,N
Other,Yes,3,Graduate,No,65419.0,5074.0,Yes,680,360,0,Urban,N
Female,Yes,3,Not Graduate,No,47666.0,9123.0,Yes,528,240,1,Urban,Y
Female,No,3,Graduate,Yes,16478.0,24666.0,Yes,157,360,0,Semiurban,Y
Other,No,3,Not Graduate,Yes,11273.0,47066.0,Yes,320,360,1,Rural,N
Other,Yes,0,Not Graduate,Yes,52245.0,20717.0,Yes,675,60,1,Urban,Y
Female,No,0,Not Graduate,No,49400.0,47565.0,Yes,286,120,0,Urban,Y
Male,No,3,Not Graduate,Yes,42708.0,39959.0,Yes,310,300,1,Rural,Y
Male,Yes,3,Not Graduate,No,35552.0,40316.0,Yes,578,120,0,Rural,N
Female,Yes,0,Graduate,Yes,54560.0,19352.0,Yes,653,180,1,Rural,Y
Male,No,3,Graduate,No,29430.0,31626.0,Yes,678,120,1,Urban,N
Female,No,3,Graduate,No,31575.0,45832.0,Yes,436,60,0,Semiurban,N
Male,No,3,Not Graduate,Yes,61433.0,27653.0,Yes,452,300,0,Urban,N
Male,No,3,Graduate,Yes,52775.0,31289.0,Yes,407,360,1,Urban,N
Other,Yes,1,Graduate,No,46436.0,2659.0,Yes,268,300,0,Rural,N
Other,No,3,Not Graduate,No,55624.0,633.0,Yes,514,60,1,Rural,N
Male,Yes,0,Not Graduate,Yes,35938.0,15716.0,Yes,470,60,1,Urban,Y
Male,Yes,0,Graduate,No,29358.0,35996.0,Yes,198,120,0,Rural,N
Other,No,0,Not Graduate,Yes,11769.0,25800.0,Yes,406,240,0,Urban,Y
Other,No,0,Not Graduate,Yes,20285.0,17632.0,Yes,100,60,1,Rural,N
Other,No,3,Not Graduate,No,25287.0,17366.0,Yes,103,180,1,Semiurban,Y
Female,Yes,1,Graduate,Yes,50361.0,35278.0,Yes,188,60,1,Urban,Y
Male,Yes,2,Not Graduate,No,48805.0,20234.0,Yes,162,300,0,Urban,N
Other,Yes,2,Not Graduate,Yes,34347.0,20377.0,Yes,476,60,1,Rural,Y
Male,Yes,2,Not Graduate,No,11986.0,48384.0,Yes,547,120,1,Urban,Y
Female,No,2,Not Graduate,Yes,5066.0,33757.0,Yes,341,360,1,Urban,N
Female,Yes,0,Not Graduate,Yes,45779.0,1616.0,Yes,395,120,0,Urban,N
Other,Yes,3,Graduate,No,60714.0,31150.0,Yes,560,60,0,Rural,N
Female,No,3,Graduate,Yes,59112.0,8616.0,Yes,490,60,0,Rural,N
Male,Yes,2,Not Graduate,No,62032.0,9622.0,Yes,681,360,1,Urban,Y
Other,Yes,2,Not Graduate,No,22705.0,18019.0,Yes,652,240,1,Semiurban,N
Male,No,1,Graduate,No,27104.0,45160.0,Yes,530,180,0,Semiurban,N
Male,Yes,1,Graduate,No,45125.0,39163.0,Yes,277,300,1,Urban,Y
Female,Yes,1,Not Graduate,No,61852.0,31364.0,Yes,659,120,1,Semiurban,Y
Female,Yes,0,Not Graduate,Yes,40326.0,37986.0,Yes,139,120,1,Urban,Y
Female,Yes,3,Graduate,Yes,48536.0,16561.0,Yes,585,300,0,Rural,N
Female,No,0,Not Graduate,Yes,57070.0,13576.0,Yes,445,60,0,Semiurban,Y
Female,Yes,0,Not Graduate,Yes,28099.0,5251.0,Yes,124,360,1,Semiurban,Y
Other,No,3,Graduate,Yes,36006.0,37862.8,Yes,385,180,0,Urban,N
Male,Yes,1,Graduate,Yes,27810.0,28352.0,Yes,213,240,0,Urban,N
Male,No,3,Graduate,Yes,10388.0,33487.0,Yes,568,300,0,Rural,N
Male,No,2,Graduate,No,62247.0,35896.0,Yes,614,180,0,Semiurban,N
Male,No,1,Not Graduate,No,43850.0,23419.0,Yes,205,120,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,28511.0,29080.0,Yes,552,180,1,Semiurban,Y
Other,Yes,3,Not Graduate,No,42224.0,14597.0,Yes,540,240,1,Urban,Y
Other,No,1,Graduate,Yes,28394.0,35557.0,Yes,656,180,0,Rural,N
Male,Yes,2,Graduate,Yes,56269.0,25229.0,Yes,377,60,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,62459.0,22645.0,Yes,50,120,0,Rural,N
Other,Yes,2,Not Graduate,No,70975.0,44516.0,Yes,409,240,1,Urban,Y
Other,Yes,2,Not Graduate,No,13019.0,15306.0,Yes,676,240,0,Urban,N
Female,No,0,Graduate,No,25470.0,27968.0,Yes,386,240,1,Urban,Y
Female,Yes,3,Graduate,Yes,51003.0,25065.0,Yes,236,360,1,Rural,Y
Female,Yes,2,Not Graduate,Yes,32658.0,25920.0,Yes,318,120,1,Semiurban,Y
Female,Yes,3,Not Graduate,Yes,14928.0,39668.0,Yes,480,360,0,Rural,N
Female,Yes,2,Graduate,No,54243.0,33375.0,Yes,172,360,1,Semiurban,Y
Male,No,2,Not Graduate,No,41318.0,15072.0,Yes,601,120,1,Urban,Y
Other,No,2,Graduate,No,50812.0,36359.0,Yes,268,60,0,Urban,N
Female,Yes,1,Not Graduate,Yes,48048.0,38413.0,Yes,465,180,1,Rural,Y
Other,Yes,2,Not Graduate,Yes,45875.0,4119.0,Yes,235,120,0,Semiurban,N
Other,Yes,3,Graduate,No,27591.0,5311.0,Yes,637,240,0,Rural,Y
Female,No,3,Graduate,Yes,16891.0,8944.0,Yes,613,180,0,Rural,N
Male,No,3,Not Graduate,Yes,28844.6,3048.0,Yes,254,300,1,Urban,N
Female,Yes,3,Graduate,No,29152.0,37212.0,Yes,385,60,1,Semiurban,N
Male,No,2,Graduate,No,52457.0,4120.0,Yes,439,300,0,Rural,N
Other,Yes,1,Graduate,Yes,74348.0,11653.0,Yes,353,300,1,Rural,Y
Male,Yes,0,Graduate,No,39112.0,16000.0,Yes,561,240,0,Rural,N
Male,No,3,Graduate,No,23840.0,33782.0,Yes,275,60,0,Urban,N
